Date,Close,prob_up,signal,true_label,fwd_ret_5
2025-10-02,3839.699951171875,0.59279615,1,1,0.027762611405017568
2025-10-03,3880.800048828125,0.5866838,1,1,0.02450521859386745
2025-10-06,3948.5,0.58059675,1,1,0.04054706791344809
2025-10-07,3976.60009765625,0.5712822,1,1,0.040763489834391375
2025-10-08,4043.300048828125,0.56721073,1,1,0.03304228029140366
2025-10-09,3946.300048828125,0.5634763,1,1,0.08461093742315118
2025-10-10,3975.89990234375,0.54997844,1,1,0.05382429267745126
2025-10-13,4108.60009765625,0.5564516,1,1,0.055444628163604515
2025-10-14,4138.7001953125,0.55245394,1,0,-0.012322768437875276
2025-10-15,4176.89990234375,0.5433153,1,0,-0.03172209128728498
2025-10-16,4280.2001953125,0.53278935,1,0,-0.03614321486222105
2025-10-17,4189.89990234375,0.52730453,1,0,-0.017064846814121792
2025-10-20,4336.39990234375,0.51264286,1,0,-0.07713771965985161
2025-10-21,4087.699951171875,0.51807904,1,0,-0.029723316645383413
2025-10-22,4044.39990234375,0.53720534,1,0,-0.015008394975160377
2025-10-23,4125.5,0.5201367,1,0,-0.030105429928948046
2025-10-24,4118.39990234375,0.52386904,1,0,-0.03307108449919216
2025-10-28,3966.199951171875,0.5386583,1,0,-0.004664414358266034
2025-10-30,4001.300048828125,0.5504338,1,0,-0.00534829835884032
2025-11-03,4000.300048828125,0.5572377,1,1,0.027872848160986896
2025-11-04,3947.699951171875,0.56245273,1,1,0.04030191136193029
2025-11-05,3980.300048828125,0.56936425,1,1,0.05630225127917288
2025-11-06,3979.89990234375,0.5362363,1,1,0.05201135834549464
2025-11-07,3999.39990234375,0.560593,1,1,0.022053357370142468
2025-11-10,4111.7998046875,0.55829334,1,0,-0.010579249459028772
2025-11-11,4106.7998046875,0.5095422,1,0,-0.01107912681973
2025-11-12,4204.39990234375,0.51447785,1,0,-0.030135085651877613
2025-11-13,4186.89990234375,0.5118779,1,0,-0.031144738442577702
2025-11-14,4087.60009765625,0.53484863,1,0,-0.0026666372012822404
2025-11-18,4061.300048828125,0.51438767,1,1,0.01918108624031678
2025-11-19,4077.699951171875,0.5223276,1,1,0.021458235080655808
2025-11-20,4056.5,0.51987463,1,1,0.039886553602243247
2025-11-21,4076.699951171875,0.52016914,1,1,0.03988516581135304
2025-11-24,4091.89990234375,0.51739657,1,1,0.0231433313552607
2025-11-25,4139.2001953125,0.5212489,1,1,0.014519618897163022
2025-11-26,4165.2001953125,0.5264028,1,1,0.011187843846603762
2025-12-01,4239.2998046875,0.5149901,1,0,-0.012289673242121713
